2017-01-27T13:58:56,520 | WARN | HttpResponseHandlerBase | ioWorker#1 | UPDATE,16x0cgorymnxj,4e6491a0753050a7,1048576,1/9010,/2017.01.27.13.36.43.149,: 500 Internal Server Error
2017-01-27T13:59:15,175 | WARN | HttpResponseHandlerBase | ioWorker#1 | UPDATE,/2017.01.27.13.36.43.149/1d6t65y35kghe,59d98ee8ea500172,1048576,2/040002,/2017.01.27.13.36.43.149,: 500 Internal Server Error
2017-01-27T13:59:15,176 | DEBUG | BasicLoadMonitor | svcTasksExecutor#2-getIoResults | item: /2017.01.27.13.36.43.149/1d6t65y35kghe, operation: UPDATE, status: RESP_FAIL_SVC
2017-01-27T13:59:15,266 | WARN | HttpResponseHandlerBase | ioWorker#1 | UPDATE,/2017.01.27.13.36.43.149/0sju51h0sbfms,3426dea499110fe4,1048576,2/0810,/2017.01.27.13.36.43.149,: 500 Internal Server Error
2017-01-27T13:59:15,267 | DEBUG | BasicLoadMonitor | svcTasksExecutor#2-getIoResults | item: /2017.01.27.13.36.43.149/0sju51h0sbfms, operation: UPDATE, status: RESP_FAIL_SVC
2017-01-27T13:59:15,951 | WARN | HttpResponseHandlerBase | ioWorker#1 | UPDATE,/2017.01.27.13.36.43.149/1l6frw4man5rq,6871a370aeb61ef6,1048576,2/4010,/2017.01.27.13.36.43.149,: 500 Internal Server Error
2017-01-27T13:59:15,952 | DEBUG | BasicLoadMonitor | svcTasksExecutor#2-getIoResults | item: /2017.01.27.13.36.43.149/1l6frw4man5rq, operation: UPDATE, status: RESP_FAIL_SVC
2017-01-27T13:59:17,223 | WARN | HttpResponseHandlerBase | ioWorker#1 | UPDATE,/2017.01.27.13.36.43.149/1adrntx7f63so,54b918921a8093b8,1048576,2/000410,/2017.01.27.13.36.43.149,: 500 Internal Server Error
2017-01-27T13:59:17,224 | DEBUG | BasicLoadMonitor | svcTasksExecutor#2-getIoResults | item: /2017.01.27.13.36.43.149/1adrntx7f63so, operation: UPDATE, status: RESP_FAIL_SVC
2017-01-27T13:59:17,360 | WARN | HttpResponseHandlerBase | ioWorker#1 | UPDATE,/2017.01.27.13.36.43.149/0rzfyxushgyqr,331df8b34f61d4e3,1048576,2/0180,/2017.01.27.13.36.43.149,: 500 Internal Server Error
2017-01-27T13:59:17,362 | DEBUG | BasicLoadMonitor | svcTasksExecutor#2-getIoResults | item: /2017.01.27.13.36.43.149/0rzfyxushgyqr, operation: UPDATE, status: RESP_FAIL_SVC
2017-01-27T13:59:18,368 | WARN | HttpResponseHandlerBase | ioWorker#1 | UPDATE,/2017.01.27.13.36.43.149/0gatnvukdl42j,1dc66c67e549a4db,1048576,2/0802,/2017.01.27.13.36.43.149,: 500 Internal Server Error
2017-01-27T13:59:18,369 | DEBUG | BasicLoadMonitor | svcTasksExecutor#2-getIoResults | item: /2017.01.27.13.36.43.149/0gatnvukdl42j, operation: UPDATE, status: RESP_FAIL_SVC
2017-01-27T13:59:18,677 | WARN | HttpResponseHandlerBase | ioWorker#1 | UPDATE,/2017.01.27.13.36.43.149/1pxmp7lmxpwhq,71214e09fe2b59be,1048576,2/0081,/2017.01.27.13.36.43.149,: 500 Internal Server Error
2017-01-27T13:59:18,677 | DEBUG | BasicLoadMonitor | svcTasksExecutor#2-getIoResults | item: /2017.01.27.13.36.43.149/1pxmp7lmxpwhq, operation: UPDATE, status: RESP_FAIL_SVC
2017-01-27T13:59:18,959 | WARN | HttpResponseHandlerBase | ioWorker#1 | UPDATE,/2017.01.27.13.36.43.149/1vovq9bcap89a,7ba5582f2d8de00e,1048576,2/080002,/2017.01.27.13.36.43.149,: 500 Internal Server Error
2017-01-27T13:59:18,959 | DEBUG | BasicLoadMonitor | svcTasksExecutor#2-getIoResults | item: /2017.01.27.13.36.43.149/1vovq9bcap89a, operation: UPDATE, status: RESP_FAIL_SVC
2017-01-27T13:59:22,328 | WARN | HttpResponseHandlerBase | ioWorker#1 | UPDATE,/2017.01.27.13.36.43.149/1od1ld3ozz8op,6e424a0edae8e9b9,1048576,2/64a006,/2017.01.27.13.36.43.149,: 500 Internal Server Error
2017-01-27T13:59:22,329 | DEBUG | BasicLoadMonitor | svcTasksExecutor#2-getIoResults | item: /2017.01.27.13.36.43.149/1od1ld3ozz8op, operation: UPDATE, status: RESP_FAIL_SVC
2017-01-27T13:59:22,428 | WARN | HttpResponseHandlerBase | ioWorker#1 | UPDATE,/2017.01.27.13.36.43.149/0zher6j4jmegx,40d0a3bdcb6825c1,1048576,2/24c209,/2017.01.27.13.36.43.149,: 500 Internal Server Error
2017-01-27T13:59:22,428 | DEBUG | BasicLoadMonitor | svcTasksExecutor#2-getIoResults | item: /2017.01.27.13.36.43.149/0zher6j4jmegx, operation: UPDATE, status: RESP_FAIL_SVC
2017-01-27T13:59:29,045 | WARN | HttpResponseHandlerBase | ioWorker#1 | UPDATE,/2017.01.27.13.36.43.149/0j2cmjzv7breq,22d334687e399282,1048576,2/fdfe19,/2017.01.27.13.36.43.149,: 500 Internal Server Error
2017-01-27T13:59:29,046 | DEBUG | BasicLoadMonitor | svcTasksExecutor#2-getIoResults | item: /2017.01.27.13.36.43.149/0j2cmjzv7breq, operation: UPDATE, status: RESP_FAIL_SVC
