2018-10-02T14:03:30,743 | INFO | o.a.h.i.e.RetryExec | Test worker | I/O exception (org.newsclub.net.unix.AFUNIXSocketException) caught when processing request to {}->unix://localhost:80: Permission denied
2018-10-15T13:06:07,307 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@1cb3ec38{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:06:07,307 | INFO | o.e.j.s.Server | main | Started @2648ms
2018-10-15T13:07:09,113 | INFO | o.e.j.u.log | main | Logging initialized @1799ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:07:09,381 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:07:09,463 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:07:09,504 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@5bf6a17{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:07:09,504 | INFO | o.e.j.s.Server | main | Started @2193ms
2018-10-15T13:09:38,256 | INFO | o.e.j.u.log | main | Logging initialized @1627ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:09:38,466 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:09:38,545 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:09:38,575 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@7ee8b940{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:09:38,575 | INFO | o.e.j.s.Server | main | Started @1950ms
2018-10-15T13:10:23,149 | INFO | o.e.j.u.log | main | Logging initialized @1645ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:10:23,341 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:10:23,410 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:10:23,449 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@6ac55527{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:10:23,449 | INFO | o.e.j.s.Server | main | Started @1946ms
2018-10-15T13:11:14,294 | INFO | o.e.j.u.log | main | Logging initialized @1751ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:11:14,477 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:11:14,557 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:11:14,576 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@4e344095{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:11:14,578 | INFO | o.e.j.s.Server | main | Started @2036ms
2018-10-15T13:12:09,079 | INFO | o.e.j.u.log | main | Logging initialized @1703ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:12:09,247 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:12:09,316 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:12:09,344 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@66ea810{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:12:09,345 | INFO | o.e.j.s.Server | main | Started @1974ms
2018-10-15T13:15:22,364 | INFO | o.e.j.u.log | main | Logging initialized @1534ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:15:22,564 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:15:22,648 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:15:22,664 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@30201fbc{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:15:22,664 | INFO | o.e.j.s.Server | main | Started @1837ms
2018-10-15T13:15:52,700 | INFO | o.e.j.u.log | main | Logging initialized @1513ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:15:52,925 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:15:52,985 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:15:53,023 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@7ee8b940{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:15:53,024 | INFO | o.e.j.s.Server | main | Started @1840ms
2018-10-15T13:18:01,693 | INFO | o.e.j.u.log | main | Logging initialized @1580ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:18:01,824 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:18:01,888 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:18:01,905 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@6f485070{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:18:01,905 | INFO | o.e.j.s.Server | main | Started @1795ms
2018-10-15T13:20:38,340 | INFO | o.e.j.u.log | main | Logging initialized @1398ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:20:38,498 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:20:38,625 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:20:38,653 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@66ea810{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:20:38,658 | INFO | o.e.j.s.Server | main | Started @1718ms
2018-10-15T13:23:44,606 | INFO | o.e.j.u.log | main | Logging initialized @1591ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:23:44,828 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:23:44,899 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:23:44,915 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@4e344095{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:23:44,915 | INFO | o.e.j.s.Server | main | Started @1902ms
2018-10-15T13:27:26,918 | INFO | o.e.j.u.log | main | Logging initialized @1434ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:27:27,096 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:27:27,235 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:27:27,267 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@66ea810{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:27:27,269 | INFO | o.e.j.s.Server | main | Started @1788ms
2018-10-15T13:27:48,118 | INFO | o.e.j.u.log | main | Logging initialized @1728ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:27:48,287 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:27:48,401 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:27:48,433 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@66ea810{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:27:48,435 | INFO | o.e.j.s.Server | main | Started @2048ms
2018-10-15T13:28:50,145 | INFO | o.e.j.u.log | main | Logging initialized @1614ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:28:50,289 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:28:50,344 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:28:50,356 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@7ee8b940{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:28:50,356 | INFO | o.e.j.s.Server | main | Started @1828ms
2018-10-15T13:29:13,697 | INFO | o.e.j.u.log | main | Logging initialized @1837ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:29:13,998 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:29:14,113 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:29:14,136 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@30201fbc{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:29:14,136 | INFO | o.e.j.s.Server | main | Started @2280ms
2018-10-15T13:30:03,901 | INFO | o.e.j.u.log | main | Logging initialized @1454ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:30:04,091 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:30:04,165 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:30:04,201 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@30d3c19d{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:30:04,201 | INFO | o.e.j.s.Server | main | Started @1753ms
2018-10-15T13:32:00,497 | INFO | o.e.j.u.log | main | Logging initialized @1575ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:32:00,665 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:32:00,698 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:32:00,710 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@7ee8b940{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:32:00,712 | INFO | o.e.j.s.Server | main | Started @1792ms
2018-10-15T13:41:43,433 | INFO | o.e.j.u.log | main | Logging initialized @1554ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:41:43,683 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:41:43,750 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:41:43,766 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@1ca460cb{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:41:43,766 | INFO | o.e.j.s.Server | main | Started @1889ms
2018-10-15T13:42:20,632 | INFO | o.e.j.u.log | main | Logging initialized @1612ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:42:20,802 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:42:20,886 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:42:20,906 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@4e344095{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:42:20,906 | INFO | o.e.j.s.Server | main | Started @1892ms
2018-10-15T13:43:14,613 | INFO | o.e.j.u.log | main | Logging initialized @1631ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:43:14,778 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:43:14,870 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:43:14,887 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@bce6199{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:43:14,887 | INFO | o.e.j.s.Server | main | Started @1907ms
2018-10-15T13:44:18,167 | INFO | o.e.j.u.log | main | Logging initialized @1628ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:44:18,359 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:44:18,447 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:44:18,465 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@4972684c{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:44:18,466 | INFO | o.e.j.s.Server | main | Started @1929ms
2018-10-15T13:44:42,377 | INFO | o.e.j.u.log | main | Logging initialized @1605ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:44:42,568 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:44:42,660 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:44:42,676 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@bce6199{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:44:42,676 | INFO | o.e.j.s.Server | main | Started @1907ms
2018-10-15T13:49:22,101 | INFO | o.e.j.u.log | main | Logging initialized @1667ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T13:49:22,307 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T13:49:22,405 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T13:49:22,437 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@4972684c{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T13:49:22,437 | INFO | o.e.j.s.Server | main | Started @2005ms
2018-10-15T14:06:09,750 | INFO | o.e.j.u.log | main | Logging initialized @1615ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T14:06:09,895 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T14:06:09,958 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T14:06:09,972 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@66ea810{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T14:06:09,974 | INFO | o.e.j.s.Server | main | Started @1839ms
2018-10-15T14:06:55,349 | INFO | o.e.j.u.log | main | Logging initialized @1651ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T14:06:55,535 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T14:06:55,594 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T14:06:55,604 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@3b95976{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T14:06:55,604 | INFO | o.e.j.s.Server | main | Started @1914ms
2018-10-15T14:08:07,926 | INFO | o.e.j.u.log | main | Logging initialized @1626ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T14:08:08,168 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T14:08:08,254 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T14:08:08,283 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@66ea810{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T14:08:08,284 | INFO | o.e.j.s.Server | main | Started @1989ms
2018-10-15T14:09:33,444 | INFO | o.e.j.u.log | main | Logging initialized @1548ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T14:09:33,652 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T14:09:33,718 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@446a1e84{/,null,AVAILABLE}
2018-10-15T14:09:33,731 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@3d5333d5{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T14:09:33,731 | INFO | o.e.j.s.Server | main | Started @1839ms
2018-10-15T14:10:35,911 | INFO | o.e.j.u.log | main | Logging initialized @1790ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T14:10:36,117 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T14:10:36,197 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T14:10:36,207 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@66ea810{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T14:10:36,207 | INFO | o.e.j.s.Server | main | Started @2090ms
2018-10-15T14:13:12,011 | INFO | o.e.j.u.log | main | Logging initialized @1488ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T14:13:12,261 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T14:13:12,348 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T14:13:12,370 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@66ea810{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T14:13:12,371 | INFO | o.e.j.s.Server | main | Started @1849ms
2018-10-15T14:13:41,807 | INFO | o.e.j.u.log | main | Logging initialized @1761ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T14:13:41,995 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T14:13:42,087 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T14:13:42,103 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@3b95976{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T14:13:42,104 | INFO | o.e.j.s.Server | main | Started @2059ms
2018-10-15T14:14:48,114 | INFO | o.e.j.u.log | main | Logging initialized @1596ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T14:14:48,317 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T14:14:48,420 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T14:14:48,445 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@66ea810{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T14:14:48,445 | INFO | o.e.j.s.Server | main | Started @1928ms
2018-10-15T14:15:32,923 | INFO | o.e.j.u.log | main | Logging initialized @1739ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T14:15:33,130 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T14:15:33,201 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T14:15:33,218 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@66ea810{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T14:15:33,219 | INFO | o.e.j.s.Server | main | Started @2037ms
2018-10-15T14:15:51,786 | INFO | o.e.j.u.log | main | Logging initialized @1602ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-15T14:15:52,004 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-15T14:15:52,084 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-15T14:15:52,105 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@349dc8b4{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-15T14:15:52,105 | INFO | o.e.j.s.Server | main | Started @1925ms
2018-10-16T06:18:03,896 | INFO | o.e.j.u.log | main | Logging initialized @1870ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-16T06:18:04,053 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-16T06:18:04,149 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-16T06:18:04,163 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@66ea810{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-16T06:18:04,163 | INFO | o.e.j.s.Server | main | Started @2139ms
2018-10-16T06:43:02,878 | INFO | o.e.j.u.log | main | Logging initialized @1783ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-16T06:43:03,082 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-16T06:43:03,136 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-16T06:43:03,162 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@196503da{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-16T06:43:03,162 | INFO | o.e.j.s.Server | main | Started @2070ms
2018-10-16T06:46:21,658 | INFO | o.e.j.u.log | main | Logging initialized @1563ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-16T06:46:21,855 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-16T06:46:21,962 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-16T06:46:21,983 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@4a58118f{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-16T06:46:21,985 | INFO | o.e.j.s.Server | main | Started @1893ms
2018-10-16T06:49:38,620 | INFO | o.e.j.u.log | main | Logging initialized @1607ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-16T06:49:38,764 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
2018-10-16T06:49:38,843 | INFO | o.e.j.s.h.ContextHandler | main | Started o.e.j.s.ServletContextHandler@58e1d9d{/,null,AVAILABLE}
2018-10-16T06:49:38,854 | INFO | o.e.j.s.AbstractConnector | main | Started ServerConnector@66ea810{HTTP/1.1,[http/1.1]}{0.0.0.0:1111}
2018-10-16T06:49:38,854 | INFO | o.e.j.s.Server | main | Started @1843ms
2018-10-16T06:53:31,570 | INFO | o.e.j.u.log | main | Logging initialized @1651ms to org.eclipse.jetty.util.log.Slf4jLog
2018-10-16T06:53:31,727 | INFO | o.e.j.s.Server | main | jetty-9.4.12.v20180830; built: 2018-08-30T13:59:14.071Z; git: 27208684755d94a92186989f695db2d7b21ebc51; jvm 1.8.0_181-b13
